"","prodfra_n","prodfra_n_1","c_evol_prodfra","libel"
"2098","256210110A","256210110A",0,"Prodfra perenne"
"2099","256210130A","256210130A",0,"Prodfra perenne"
"2100","256220000B","256220000B",0,"Prodfra perenne"
"2101","2571111500","2571111500",0,"Prodfra perenne"
"2102","2571113000","2571113000",0,"Prodfra perenne"
"2103","2571114500","2571114500",0,"Prodfra perenne"
"2104","2571116000","2571116000",0,"Prodfra perenne"
"2105","2571117500","2571117500",0,"Prodfra perenne"
"2106","2571119000","2571119000",0,"Prodfra perenne"
"2107","2571123000","2571123000",0,"Prodfra perenne"
"2108","2571128000","2571128000",0,"Prodfra perenne"
"2109","2571133000","2571133000",0,"Prodfra perenne"
"2110","2571135000","2571135000",0,"Prodfra perenne"
"2111","2571137000","2571137000",0,"Prodfra perenne"
"2112","2571143000","2571143000",0,"Prodfra perenne"
"2113","2571148000","2571148000",0,"Prodfra perenne"
"2114","2571150000","2571150000",0,"Prodfra perenne"
"2115","2572113000","2572113000",0,"Prodfra perenne"
"2116","2572115000","2572115000",0,"Prodfra perenne"
"2117","2572117000","2572117000",0,"Prodfra perenne"
"2118","2572123000","2572123000",0,"Prodfra perenne"
"2119","2572125000","2572125000",0,"Prodfra perenne"
"2120","2572127000","2572127000",0,"Prodfra perenne"
"2121","2572133000","2572133000",0,"Prodfra perenne"
"2122","2572135000","2572135000",0,"Prodfra perenne"
"2123","2572137000","2572137000",0,"Prodfra perenne"
"2124","2572141000","2572141000",0,"Prodfra perenne"
"2125","2572142000","2572142000",0,"Prodfra perenne"
"2126","2572143000","2572143000",0,"Prodfra perenne"
"2127","2572144000","2572144000",0,"Prodfra perenne"
"2128","2572145000","2572145000",0,"Prodfra perenne"
"2129","2572146000","2572146000",0,"Prodfra perenne"
"2130","2572147000","2572147000",0,"Prodfra perenne"
"2131","2572148000","2572148000",0,"Prodfra perenne"
"2132","257310100B","257310100B",0,"Prodfra perenne"
"2133","257310200B","257310200B",0,"Prodfra perenne"
"2134","257310300B","257310300B",0,"Prodfra perenne"
"2135","257310400B","257310400B",0,"Prodfra perenne"
"2136","257310500B","257310500B",0,"Prodfra perenne"
"2137","257310600B","257310600B",0,"Prodfra perenne"
"2138","257310700B","257310700B",0,"Prodfra perenne"
"2139","257320100B","257320100B",0,"Prodfra perenne"
"2140","257320200B","257320200B",0,"Prodfra perenne"
"2141","257320300B","257320300B",0,"Prodfra perenne"
"2142","257320500B","257320501B",3,"Prodfra non per"
"2143","257320930B","257320930B",0,"Prodfra perenne"
"2144","257320950B","257320950B",0,"Prodfra perenne"
"2145","257320990B","257320990B",0,"Prodfra perenne"
"2146","257330130B","257330130B",0,"Prodfra perenne"
"2147","257330150B","257330150B",0,"Prodfra perenne"
"2148","257330170B","257330170B",0,"Prodfra perenne"
"2149","257330230B","257330230B",0,"Prodfra perenne"
"2150","257330250B","257330250B",0,"Prodfra perenne"
"2151","257330330B","257330330B",0,"Prodfra perenne"
"2152","257330350B","257330350B",0,"Prodfra perenne"
"2153","257330370B","257330370B",0,"Prodfra perenne"
"2154","257330530B","257330530B",0,"Prodfra perenne"
"2155","257330550B","257330550B",0,"Prodfra perenne"
"2156","257330570B","257330570B",0,"Prodfra perenne"
"2157","257330630B","257330630B",0,"Prodfra perenne"
"2158","257330650B","257330650B",0,"Prodfra perenne"
"2159","257330730B","257330730B",0,"Prodfra perenne"
"2160","257330770B","257330770B",0,"Prodfra perenne"
"2161","257330830B","257330830B",0,"Prodfra perenne"
"2162","257330850B","257330850B",0,"Prodfra perenne"
"2163","257340140B","257340140B",0,"Prodfra perenne"
"2164","257340160B","257340160B",0,"Prodfra perenne"
"2165","257340190B","257340190B",0,"Prodfra perenne"
"2166","257340230B","257340230B",0,"Prodfra perenne"
"2167","257340250B","257340250B",0,"Prodfra perenne"
"2168","257340270B","257340270B",0,"Prodfra perenne"
"2169","257340310B","257340310B",0,"Prodfra perenne"
"2170","257340330B","257340330B",0,"Prodfra perenne"
"2171","257340350B","257340350B",0,"Prodfra perenne"
"2172","257340370B","257340370B",0,"Prodfra perenne"
"2173","257340440B","257340440B",0,"Prodfra perenne"
"2174","257340450B","257340450B",0,"Prodfra perenne"
"2175","257340480B","257340480B",0,"Prodfra perenne"
"2176","257340500B","257340500B",0,"Prodfra perenne"
"2177","257340610B","257340610B",0,"Prodfra perenne"
"2178","257340650B","257340650B",0,"Prodfra perenne"
"2179","257340670B","257340670B",0,"Prodfra perenne"
"2180","257340690B","257340690B",0,"Prodfra perenne"
"2181","257340710B","257340710B",0,"Prodfra perenne"
"2182","257340740B","257340741B",3,"Prodfra non per"
