"","prodfra_n_moins1","prodfra_n","c_evol_prodfra","libel"
"2457","256210070A","256210070A",0,"Prodfra perenne"
"2458","256210090A","256210090A",0,"Prodfra perenne"
"2459","256210110A","256210110A",0,"Prodfra perenne"
"2460","256210130A","256210130A",0,"Prodfra perenne"
"2461","256220001B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2462","256220002B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2463","256220003B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2464","256220004B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2465","256220005B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2466","256220006B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2467","256220007B","256220000B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2468","2571111500","2571111500",0,"Prodfra perenne"
"2469","2571113000","2571113000",0,"Prodfra perenne"
"2470","2571114500","2571114500",0,"Prodfra perenne"
"2471","2571116000","2571116000",0,"Prodfra perenne"
"2472","2571117500","2571117500",0,"Prodfra perenne"
"2473","2571119000","2571119000",0,"Prodfra perenne"
"2474","2571123000","2571123000",0,"Prodfra perenne"
"2475","2571128000","2571128000",0,"Prodfra perenne"
"2476","2571133000","2571133000",0,"Prodfra perenne"
"2477","2571135000","2571135000",0,"Prodfra perenne"
"2478","2571137000","2571137000",0,"Prodfra perenne"
"2479","2571143000","2571143000",0,"Prodfra perenne"
"2480","2571148000","2571148000",0,"Prodfra perenne"
"2481","2571150000","2571150000",0,"Prodfra perenne"
"2482","2572113000","2572113000",0,"Prodfra perenne"
"2483","2572115000","2572115000",0,"Prodfra perenne"
"2484","2572117000","2572117000",0,"Prodfra perenne"
"2485","2572123000","2572123000",0,"Prodfra perenne"
"2486","2572125000","2572125000",0,"Prodfra perenne"
"2487","2572127000","2572127000",0,"Prodfra perenne"
"2488","2572133000","2572133000",0,"Prodfra perenne"
"2489","2572135000","2572135000",0,"Prodfra perenne"
"2490","2572137000","2572137000",0,"Prodfra perenne"
"2491","2572141000","2572141000",0,"Prodfra perenne"
"2492","2572142000","2572142000",0,"Prodfra perenne"
"2493","2572143000","2572143000",0,"Prodfra perenne"
"2494","2572144010","2572144000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2495","2572144020","2572144000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2496","2572144090","2572144000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2497","2572145000","2572145000",0,"Prodfra perenne"
"2498","2572146000","2572146000",0,"Prodfra perenne"
"2499","2572147000","2572147000",0,"Prodfra perenne"
"2500","2572148000","2572148000",0,"Prodfra perenne"
"2501","257310100B","257310100B",0,"Prodfra perenne"
"2502","257310200B","257310200B",0,"Prodfra perenne"
"2503","257310300B","257310300B",0,"Prodfra perenne"
"2504","257310400B","257310400B",0,"Prodfra perenne"
"2505","257310500B","257310500B",0,"Prodfra perenne"
"2506","257310600B","257310600B",0,"Prodfra perenne"
"2507","257310700B","257310700B",0,"Prodfra perenne"
"2508","257320101B","257320100B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2509","257320102B","257320100B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2510","257320201B","257320200B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2511","257320202B","257320200B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2512","257320300B","257320300B",0,"Prodfra perenne"
"2513","257320501B","257320501B",0,"Prodfra perenne"
"2514","257320502B","257320502B",0,"Prodfra perenne"
"2515","257320930B","257320930B",0,"Prodfra perenne"
"2516","257320950B","257320950B",0,"Prodfra perenne"
"2517","257320990B","257320990B",0,"Prodfra perenne"
"2518","257330130B","257330130B",0,"Prodfra perenne"
"2519","257330150B","257330150B",0,"Prodfra perenne"
"2520","257330170B","257330170B",0,"Prodfra perenne"
"2521","257330230B","257330230B",0,"Prodfra perenne"
"2522","257330250B","257330250B",0,"Prodfra perenne"
"2523","257330330B","257330330B",0,"Prodfra perenne"
"2524","257330350B","257330350B",0,"Prodfra perenne"
"2525","257330370B","257330370B",0,"Prodfra perenne"
"2526","257330530B","257330530B",0,"Prodfra perenne"
"2527","257330550B","257330550B",0,"Prodfra perenne"
"2528","257330570B","257330570B",0,"Prodfra perenne"
"2529","257330630B","257330630B",0,"Prodfra perenne"
"2530","257330650B","257330650B",0,"Prodfra perenne"
"2531","257330730B","257330730B",0,"Prodfra perenne"
"2532","257330771B","257330770B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2533","257330772B","257330770B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2534","257330830B","257330830B",0,"Prodfra perenne"
"2535","257330850B","257330850B",0,"Prodfra perenne"
"2536","257330870B","257330870B",0,"Prodfra perenne"
"2537","257340140B","257340140B",0,"Prodfra perenne"
"2538","257340160B","257340160B",0,"Prodfra perenne"
"2539","257340190B","257340190B",0,"Prodfra perenne"
"2540","257340230B","257340230B",0,"Prodfra perenne"
"2541","257340250B","257340250B",0,"Prodfra perenne"
"2542","257340270B","257340270B",0,"Prodfra perenne"
"2543","257340310B","257340310B",0,"Prodfra perenne"
"2544","257340330B","257340330B",0,"Prodfra perenne"
"2545","257340350B","257340350B",0,"Prodfra perenne"
"2546","257340370B","257340370B",0,"Prodfra perenne"
"2547","257340441B","257340440B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2548","257340442B","257340440B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2549","257340450B","257340450B",0,"Prodfra perenne"
"2550","257340480B","257340480B",0,"Prodfra perenne"
"2551","257340501B","257340500B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2552","257340502B","257340500B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2553","257340610B","257340610B",0,"Prodfra perenne"
"2554","257340650B","257340650B",0,"Prodfra perenne"
"2555","257340670B","257340670B",0,"Prodfra perenne"
"2556","257340690B","257340690B",0,"Prodfra perenne"
"2557","257340710B","257340710B",0,"Prodfra perenne"
"2558","257340741B","257340741B",0,"Prodfra perenne"
"2559","257340742B","257340742B",0,"Prodfra perenne"
"2560","257340790B","257340790B",0,"Prodfra perenne"
"2561","257340810B","257340810B",0,"Prodfra perenne"
"2562","257340830B","257340830B",0,"Prodfra perenne"
"2563","257340850B","257340850B",0,"Prodfra perenne"
"2564","257340870B","257340870B",0,"Prodfra perenne"
"2565","257340890B","257340890B",0,"Prodfra perenne"
"2566","257350131A","257350130A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2567","257350132A","257350130A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2568","257350150A","257350150A",0,"Prodfra perenne"
"2569","257350200A","257350200A",0,"Prodfra perenne"
"2570","257350300A","257350300A",0,"Prodfra perenne"
"2571","257350500A","257350500A",0,"Prodfra perenne"
"2572","257350600A","257350600A",0,"Prodfra perenne"
"2573","257350701A","257350700A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2574","257350702A","257350700A",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2575","257350800A","257350800A",0,"Prodfra perenne"
"2576","257360130B","257360130B",0,"Prodfra perenne"
"2577","257360180B","257360180B",0,"Prodfra perenne"
"2578","257360230B","257360230B",0,"Prodfra perenne"
"2579","257360241B","257360240B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2580","257360242B","257360240B",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2581","257360330B","257360330B",0,"Prodfra perenne"
"2582","257360390B","257360390B",0,"Prodfra perenne"
"2583","257360430B","257360430B",0,"Prodfra perenne"
"2584","257360450B","257360450B",0,"Prodfra perenne"
"2585","257360530B","257360530B",0,"Prodfra perenne"
"2586","257360550B","257360550B",0,"Prodfra perenne"
"2587","257360630B","257360630B",0,"Prodfra perenne"
"2588","257360650B","257360650B",0,"Prodfra perenne"
"2589","257360670B","257360670B",0,"Prodfra perenne"
"2590","257360900B","257360900B",0,"Prodfra perenne"
"2591","25739900HB","25739900HB",0,"Prodfra perenne"
"2592","2591110010","2591110000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2593","2591110020","2591110000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2594","2591120000","2591120000",0,"Prodfra perenne"
"2595","2592113310","2592113300",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2596","2592113320","2592113300",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2597","2592113500","2592113500",0,"Prodfra perenne"
"2598","2592115010","2592115000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2599","2592115020","2592115000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2600","2592121000","2592121000",0,"Prodfra perenne"
"2601","2592123000","2592123000",0,"Prodfra perenne"
"2602","2592125000","2592125000",0,"Prodfra perenne"
"2603","2592126000","2592126000",0,"Prodfra perenne"
"2604","2592128010","2592128000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2605","2592128020","2592128000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2606","2592128030","2592128000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2607","2592128040","2592128000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2608","2592128050","2592128000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2609","2592133000","2592133000",0,"Prodfra perenne"
"2610","2592135000","2592135000",0,"Prodfra perenne"
"2611","2592137000","2592137000",0,"Prodfra perenne"
"2612","2593113000","2593113000",0,"Prodfra perenne"
"2613","2593115000","2593115000",0,"Prodfra perenne"
"2614","2593123000","2593123000",0,"Prodfra perenne"
"2615","2593125000","2593125000",0,"Prodfra perenne"
"2616","2593127000","2593127000",0,"Prodfra perenne"
"2617","2593131300","2593131300",0,"Prodfra perenne"
"2618","2593131500","2593131500",0,"Prodfra perenne"
"2619","2593132000","2593132000",0,"Prodfra perenne"
"2620","2593133000","2593133000",0,"Prodfra perenne"
"2621","2593134310","2593134310",0,"Prodfra perenne"
"2622","2593134320","2593134320",0,"Prodfra perenne"
"2623","2593134500","2593134500",0,"Prodfra perenne"
"2624","2593135000","2593135000",0,"Prodfra perenne"
"2625","2593136010","2593136000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2626","2593136020","2593136000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2627","2593141000","2593141000",0,"Prodfra perenne"
"2628","2593148010","2593148000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2629","2593148020","2593148000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2630","2593151010","2593151000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2631","2593151020","2593151000",4,"Regroupement de X prodfra N-1 sur un nouveau prodfra N"
"2632","2593153000","2593153000",0,"Prodfra perenne"
"2633","2593155000","2593155000",0,"Prodfra perenne"
"2634","2593157000","2593157000",0,"Prodfra perenne"
"2635","2593161310","2593161310",0,"Prodfra perenne"
"2636","2593161320","2593161320",0,"Prodfra perenne"
"2637","2593161510","2593161510",0,"Prodfra perenne"
"2638","2593161520","2593161520",0,"Prodfra perenne"
"2639","2593161710","2593161710",0,"Prodfra perenne"
"2640","2593161720","2593161720",0,"Prodfra perenne"
"2641","2593163110","2593163110",0,"Prodfra perenne"
"2642","2593163120","2593163120",0,"Prodfra perenne"
"2643","2593163310","2593163310",0,"Prodfra perenne"
